count,tension_left,ms_left,ms_left_model,ms_speed_left,ms_speed_left_model,pressure_left,g_pressure_1,tension_right,ms_right,ms_right_model,ms_speed_right,ms_speed_right_model,pressure_right,g_pressure_2,start of cycle,angle,m5_Ia_+,m5_Ia_model_+,m5_Ia_-,m5_Ia_model_-,m5_Ib_-,m5_Ib_+,m7_Ia_+,m7_Ia_model_+,m7_Ia_-,m7_Ia_model_-,m7_Ib_-,m7_Ib_+,5.13243,2.3294,4.18E+11,-16548.8,17229,16319
94,-35,-1.89152,4.52E+23,-0.278918,8.07E+25,0.590149,0.6,505,-0.342559,699478,0.0370867,-7.46E+15,0.603271,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
95,-30,-1.88259,1.37E+24,-0.14105,3.90E+25,0.589996,0.6,499,-0.336602,688861,0.0242208,-4.49E+15,0.603195,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
96,-17,-1.86769,-1.32E+23,0.17363,1.31E+25,0.590149,0.6,490,-0.336602,675279,0.0921494,-2.05E+15,0.602966,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
97,-8,-1.87961,2.29E+22,0.43669,-1.41E+25,0.590454,0.6,475,-0.339581,655594,0.115234,-4.95E+14,0.602585,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
98,-8,-1.88259,-1.27E+23,0.347651,-3.05E+25,0.590073,0.6,452,-0.339581,623614,0.0537116,2.83E+14,0.602737,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
99,-14,-1.88259,-1.06E+23,0.0971508,-2.99E+25,0.590149,0.6,424,-0.339581,595756,-0.00615718,5.27E+14,0.602585,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
100,-26,-1.89152,-9.39E+23,-0.112176,-2.79E+25,0.59053,0.6,399,-0.342559,576900,-0.0491081,4.86E+14,0.602432,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
101,-33,-1.89748,6.05E+23,-0.327813,-2.01E+25,0.590302,0.6,377,-0.342559,562976,-0.093385,3.38E+14,0.602585,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
102,-23,-1.8945,-3.63E+23,-0.448356,-2.73E+24,0.590225,0.6,377,-0.342559,559369,-0.106364,1.85E+14,0.603043,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
103,-20,-1.8945,-2.01E+23,-0.377399,3.71E+24,0.590454,0.6,338,-0.339581,562378,-0.0629487,7.26E+13,0.602966,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
104,-29,-1.90046,3.72E+24,-0.266184,2.73E+25,0.59053,0.6,329,-0.345538,569108,-0.0277239,6.36E+12,0.603043,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
105,-35,-1.90344,4.67E+23,-0.248155,6.13E+25,0.59053,0.6,326,-0.342559,568930,-0.0452422,-2.27E+13,0.6035,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
106,-29,-1.90046,4.07E+24,-0.23375,6.53E+25,0.590683,0.6,329,-0.339581,565898,-0.0200805,-2.86E+13,0.6035,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
107,-18,-1.8945,-1.50E+23,-0.104951,4.73E+25,0.590607,0.6,334,-0.345538,563124,0.0156404,-2.33E+13,0.603271,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
108,-17,-1.88855,-1.32E+23,0.115839,-5.27E+24,0.590683,0.6,336,-0.345538,560125,-0.0338664,-1.48E+13,0.6035,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
109,-22,-1.88855,-2.88E+23,0.294549,-5.47E+25,0.590912,0.6,337,-0.345538,558472,-0.085143,-7.32E+12,0.603653,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
110,-26,-1.89748,-8.86E+23,0.268241,-6.63E+25,0.591064,0.6,341,-0.345538,557539,-0.0833366,-2.26E+12,0.603424,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
111,-29,-1.89748,4.27E+24,0.0649494,-2.78E+25,0.590759,0.6,344,-0.345538,556089,-0.0601049,4.44E+11,0.603424,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
