count,tension_left,ms_left,ms_left_model,ms_speed_left,ms_speed_left_model,pressure_left,g_pressure_1,tension_right,ms_right,ms_right_model,ms_speed_right,ms_speed_right_model,natural_length_right_model,deformation_right_model,natural_length_left_model,deformation_left_model,pressure_right,g_pressure_2,start of cycle,angle,m5_Ia_+,m5_Ia_model_+,m5_Ia_-,m5_Ia_model_-,m5_Ib_-,m5_Ib_+,m7_Ia_+,m7_Ia_model_+,m7_Ia_-,m7_Ia_model_-,m7_Ib_-,m7_Ib_+,4.00348,2.89537,170.186,178.853,33515,18125,77.2119
680,-561,-0.509371,152.433,-1.64214,-2.15994,0.402466,0.4,20,-0.178727,150.532,0.042825,2.41957,150.453,0.078592,145.912,6.52143,0.398956,0.4,1,-38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
681,-551,-0.521286,152.359,-1.53373,-1.08797,0.402161,0.4,2,-0.175748,150.477,0.0971921,0.944138,150.469,0.00786489,145.93,6.42889,0.398727,0.4,1,-38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
682,-553,-0.530222,152.429,-1.35481,-1.67453,0.401398,0.4,-2,-0.181705,150.429,0.0930932,-1.10493,150.437,-0.00786519,145.976,6.4525,0.399185,0.4,1,-38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
683,-559,-0.530222,152.409,-1.11541,-1.1533,0.402542,0.4,7,-0.178727,150.486,0.0258992,-2.28215,150.459,0.0275209,145.907,6.50211,0.39888,0.4,1,-38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
684,-556,-0.53618,152.472,-0.815796,0.00468153,0.401169,0.4,17,-0.184684,150.526,-0.0489889,-1.44925,150.459,0.066811,145.99,6.48227,0.39888,0.4,1,-38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
685,-546,-0.539159,152.342,-0.571924,0.321688,0.401703,0.4,20,-0.181705,150.532,-0.106685,0.237023,150.453,0.078592,145.958,6.38428,0.398956,0.4,1,-38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
686,-538,-0.542138,152.266,-0.416832,-1.46902,0.401703,0.4,19,-0.181705,150.549,-0.101731,1.33635,150.475,0.0746665,145.958,6.30814,0.398651,0.4,1,-38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
687,-534,-0.548095,152.263,-0.340252,-3.72417,0.401169,0.4,17,-0.181705,150.536,-0.0522578,1.61877,150.469,0.0668116,145.99,6.27319,0.398727,0.4,1,-38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
688,-533,-0.551074,152.223,-0.336813,-4.46648,0.401627,0.4,13,-0.178727,150.521,0.00226281,1.13301,150.469,0.0510989,145.962,6.26084,0.398727,0.4,1,-38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
689,-534,-0.557031,152.273,-0.364478,-3.78704,0.401016,0.4,10,-0.178727,150.53,0.0641538,0.39187,150.491,0.039312,145.999,6.27412,0.398422,0.4,1,-38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
690,-537,-0.557031,152.287,-0.37747,-1.99135,0.401245,0.4,10,-0.178727,150.525,0.09239,-0.0316495,150.486,0.0393118,145.985,6.30139,0.398499,0.4,1,-38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
691,-541,-0.565968,152.335,-0.380869,0.127471,0.401093,0.4,13,-0.178727,150.526,0.0791171,-0.198063,150.475,0.0510991,145.994,6.34046,0.398651,0.4,1,-38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
692,-546,-0.568947,152.408,-0.419348,2.19438,0.400711,0.4,14,-0.178727,150.541,0.0522905,-0.136771,150.486,0.0550282,146.017,6.39036,0.398499,0.4,1,-38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
693,-551,-0.571925,152.435,-0.441974,3.93916,0.401016,0.4,13,-0.184684,150.521,-0.0128556,-0.00502409,150.469,0.0510989,145.999,6.43592,0.398727,0.4,1,-38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
694,-552,-0.574904,152.46,-0.412005,4.61579,0.400787,0.4,12,-0.181705,150.527,-0.0962141,-0.0738796,150.48,0.0471704,146.013,6.44679,0.398575,0.4,1,-38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
695,-551,-0.580862,152.465,-0.388449,4.20114,0.400558,0.4,14,-0.181705,150.53,-0.104644,-0.108655,150.475,0.0550278,146.026,6.43873,0.398651,0.4,1,-38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
696,-549,-0.580862,152.441,-0.373943,2.9773,0.400635,0.4,20,-0.181705,150.57,-0.059897,0.251164,150.491,0.0785944,146.022,6.4193,0.398422,0.4,1,-38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
697,-548,-0.586819,152.442,-0.34703,1.38933,0.400482,0.4,28,-0.178727,150.596,-0.00528632,1.05478,150.486,0.109999,146.031,6.41075,0.398499,0.4,1,-38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
698,-546,-0.589798,152.418,-0.342219,0.0447127,0.400558,0.4,28,-0.181705,150.585,0.0386158,1.64482,150.475,0.109998,146.026,6.39129,0.398651,0.4,1,-38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
699,-542,-0.595756,152.41,-0.367836,-0.893374,0.400101,0.4,20,-0.181705,150.559,0.0262503,1.30043,150.48,0.0785937,146.054,6.35605,0.398575,0.4,1,-38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
700,-537,-0.595756,152.357,-0.379062,-1.65923,0.400177,0.4,13,-0.181705,150.531,-0.00596036,0.201393,150.48,0.0510994,146.049,6.3079,0.398575,0.4,1,-38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
701,-537,-0.598734,152.362,-0.341348,-2.25431,0.400101,0.4,9,-0.178727,150.521,0.00234264,-0.920142,150.486,0.035382,146.054,6.30836,0.398499,0.4,1,-38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
702,-540,-0.604692,152.396,-0.313618,-1.95232,0.400024,0.4,8,-0.184684,150.517,0.00516203,-1.4849,150.486,0.0314519,146.059,6.33746,0.398499,0.4,1,-38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
703,-542,-0.604692,152.415,-0.31746,-0.687463,0.400024,0.4,8,-0.181705,150.501,-0.0350346,-1.5474,150.469,0.0314515,146.059,6.35652,0.398727,0.4,1,-38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
704,-540,-0.607671,152.406,-0.293357,0.441333,0.399872,0.4,10,-0.181705,150.514,-0.0422142,-1.30885,150.475,0.0393115,146.068,6.33839,0.398651,0.4,1,-38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
